clean_text,sentiment,brand_target,Brand_Parent,Word_Count,Is_Mobile,Crisis_Priority
g iphone hr tweeting riseaustin dead need upgrade plugin station sxsw,Negative,iPhone,Apple,11,1,High (Alert)
know awesome ipadiphone app youll likely appreciate design also theyre giving free t sxsw,Positive,iPad or iPhone App,Apple,14,1,Normal
wait ipad also sale sxsw,Positive,iPad,Apple,5,1,Normal
hope year festival crashy year iphone app sxsw,Negative,iPad or iPhone App,Apple,8,1,High (Alert)
great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences matt mullenweg wordpress,Positive,Google,Google,14,0,Normal
new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd,Neutral,Apple,Apple,11,1,Normal
sxsw starting ctia around corner googleio hop skip jump good time android fan,Positive,Android,Google,13,1,Normal
beautifully smart simple idea rt wrote hollergram ipad app sxsw,Positive,iPad or iPhone App,Apple,10,1,Normal
counting day sxsw plus strong canadian dollar mean stock apple gear,Positive,Apple,Apple,11,1,Normal
excited meet sxsw show sprint galaxy still running android fail,Positive,Android,Google,10,1,Normal
find start impromptyou party sxsw cannot wait til android app come,Positive,Android App,Google,11,1,Normal
foursquare ups game time sxsw still prefer far best looking android app date,Positive,Android App,Google,13,1,Normal
gotta love sxsw google calendar featuring top party show case check rt via,Positive,Other Google product or service,Google,13,0,Normal
great sxsw ipad app,Positive,iPad or iPhone App,Apple,4,1,Normal
haha awesomely rad ipad app hollergram sxsw,Positive,iPad or iPhone App,Apple,7,1,Normal
holler gram ipad itunes app store via sxsw,Neutral,Apple,Apple,8,1,Normal
noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,Negative,iPhone,Apple,15,1,Medium (Monitor)
added sxsw flight matching people planesairports also downloaded iphone app nicely done,Positive,iPad or iPhone App,Apple,12,1,Normal
must sxsw app rt lovely review forbes sxsw ipad app holler gram,Positive,iPad or iPhone App,Apple,12,1,Normal
need buy ipadto im austin sxsw sure ill need q austin apple store,Positive,iPad,Apple,13,1,Normal
oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,Positive,iPad or iPhone App,Apple,13,1,Normal
okay really yay new android app kthxbai sxsw,Positive,Android App,Google,8,1,Normal
photo installed sxsw iphone app really nice,Positive,iPad or iPhone App,Apple,7,1,Normal
really enjoying change gowalla android looking forward seeing else foursquare sleeve sxsw,Positive,Android App,Google,12,1,Normal
im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,Positive,iPad,Apple,16,1,Normal
rt haha awesomely rad ipad app hollergram sxsw via,Positive,iPad or iPhone App,Apple,9,1,Normal
someone started austin group google group presxsw great idea,Positive,Other Google product or service,Google,9,0,Normal
new sq look like going rock update iphone android push tonight sxsw keepaustinweird,Positive,iPad or iPhone App,Apple,13,1,Normal
right app android sweeeeet nice job team sxsw,Positive,Android App,Google,8,1,Normal
smart hollergram ipad app sxsw may leave vuvuzela home,Positive,iPad or iPhone App,Apple,9,1,Normal
yoyou must app ipad yoyou going sxsw hollergram,Positive,iPad or iPhone App,Apple,8,1,Normal
attn sxsw frineds register gdgtlive see cobra iradar android link,Neutral,Google,Google,10,1,Normal
anyone sxsw want sell old ipad,Neutral,Apple,Apple,6,1,Normal
anyone sxsw bought new ipad want sell older ipad,Neutral,Apple,Apple,9,1,Normal
sxsw oooh rt google launch major new social network called circle possibly today link,Neutral,Google,Google,14,0,Normal
best rt ha first line ipadto sxsw popup apple store event planner eventprofs pcma engage,Positive,iPad,Apple,15,1,Normal
spin play new concept music discovery ipad spincom link itunes sxsw,Neutral,Apple,Apple,11,1,Normal
false alarm google circle coming nowand probably ever link google circle social sxsw,Negative,Google,Google,13,0,Medium (Monitor)
vatornews google apple force print medium evolve link sxsw,Neutral,Apple,Apple,9,1,Normal
great weather greet yoyou sxsw still need sweater nightapple putting flash store downtown sell ipadto,Positive,Apple,Apple,15,1,Normal
hootsuite hootsuite mobile sxsw update iphone blackberry android whether youre getting friend link,Neutral,Apple,Apple,13,1,Normal
hey sxsw long yoyou think take u make iphone case answer using zazzlesxsw well make yoyou one,Neutral,Apple,Apple,17,1,Normal
mashable ipad take sxsw video ipad sxsw gadget link,Neutral,Apple,Apple,9,1,Normal
ipad rt new ubersocial iphone app store includes uberguide sxsw sponsored link,Neutral,Apple,Apple,12,1,Normal
ipadto smartcover open instant access waited get one link apple sxsw,Positive,iPad or iPhone App,Apple,11,1,Normal
handheld hobo drafthouse launch hobo shotgun iphone app sxsw link,Positive,Apple,Apple,10,1,Normal
hooray rt apple opening popup store austin sxsw link,Positive,Apple,Apple,9,1,Normal
orly google set launch new social network circle today sxsw,Neutral,Google,Google,10,0,Normal
wooooo apple store downtown austin open til midnight sxsw,Positive,Apple,Apple,9,1,Normal
khoi vinh say conde nast headlong rush ipad publishing fundamental misunderstanding platform sxsw,Neutral,Apple,Apple,13,1,Normal
link help forward doc anonymous account techie ppl help u jam libya sxsw,Neutral,,Other,13,0,Normal
link edchat musedchat sxsw sxswi classical newtwitter,Neutral,,Other,7,0,Normal
locationbased fast fun future link via sxsw,Neutral,,Other,7,0,Normal
google connect digital physical world mobile link sxsw,Neutral,Google,Google,8,1,Normal
talking link google effort allow user open system bettercloud sxsw,Positive,Google,Google,10,0,Normal
link rt google yoyou tweet new think yoyou speak mark belinsky tweet panel sxsw,Neutral,Google,Google,14,0,Normal
link rt st stop sxsw chaos hunt austin java get spy game chance win ipad,Positive,iPad,Apple,15,1,Normal
link rt sxsw check holler gram ipad app link,Neutral,Apple,Apple,9,1,Normal
fun google pic sxsw link,Neutral,Google,Google,5,0,Normal
via link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw,Neutral,Apple,Apple,13,1,Normal
futuremf link spec recipe web google search link sxsw,Neutral,Google,Google,9,0,Normal
omfg rt heard apple popup store downtown austin pic already gowalla link sxsw ipadto,Positive,Apple,Apple,14,1,Normal
smile rt think apple popup store austin would lot interesting actually yoyou know popped sxsw,Neutral,Apple,Apple,15,1,Normal
rt line apple store insane sxsw,Negative,Apple,Apple,6,1,Medium (Monitor)
agree rt wait fiona apple town somebody kidnap put recording studio record new album sxsw,Neutral,Apple,Apple,15,1,Normal
sxsw wanna buy yoyou drink pm fado th link join u,Neutral,,Other,11,0,Normal
attending ipad design headache sxsw link,Negative,iPad,Apple,6,1,Medium (Monitor)
boooo rt flipboard developing iphone version android say sxsw,Negative,Apple,Apple,9,1,Medium (Monitor)
check line ipad austin power sxswi sxsw link,Positive,iPad,Apple,8,1,Normal
check rt giving added value location based service need battle checkin fatigue google pnid sxsw,Neutral,Google,Google,15,0,Normal
chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt,Neutral,,Other,13,0,Normal
rt come party w google tonight sxsw link band food art ice cream nifty interactive map,Positive,Google,Google,16,0,Normal
gowalla promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link,Neutral,,Other,12,0,Normal
haha rt sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,Neutral,Google,Google,17,0,Normal
holla rt google party best ever get butt sxsw,Positive,Google,Google,9,0,Normal
love iphone case sxsw cannot get phone fail,Positive,iPhone,Apple,8,1,Normal
worship link sxsw,Neutral,,Other,3,0,Normal
ipadto rt droid mac rt agnerd confession using laptop ipad blackberry follow sxsw,Neutral,Apple,Apple,13,1,Normal
launching sxsw rt denies social network called circle debut today despite report link,Neutral,Google,Google,13,0,Normal
new post iphone app make easy connect social network people yoyou meet link sxsw,Positive,iPad or iPhone App,Apple,14,1,Normal
nice iphone app behaving today crash yesterday ridiculous sxsw,Positive,iPad or iPhone App,Apple,9,1,Normal
nice rt apple opening popup store ipad launch downtown austin sxsw link via,Neutral,Apple,Apple,13,1,Normal
nice rt hey apple fan get peek space slated popup sxsw apple store tomorrow link,Positive,Apple,Apple,15,1,Normal
one thing great get great earth face google company yoyou love sxsw sxwsi,Positive,Google,Google,13,0,Normal
stay tune showcase hckers link sxsw,Neutral,,Other,6,0,Normal
thank yoyou touchingstories preso sxsw deck link,Neutral,,Other,7,0,Normal
thank yoyou awesome sxsw party link,Neutral,,Other,6,0,Normal
thanks rt youre trying contact friend family japan created person finder link sxsw,Neutral,,Other,13,0,Normal
thanks mention new speech ipad apps showcased sxsw conf link sxswh sxsh,Positive,iPad or iPhone App,Apple,12,1,Normal
thanks publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,Neutral,,Other,13,1,Normal
sxsw provide iphone charger ive changed mind going next year,Negative,iPhone,Apple,10,1,Medium (Monitor)
wonder apple flashmob tcrnchfcsj sxsw ipadto,Neutral,Apple,Apple,6,1,Normal
wonder putting tip api sxsw suxsw,Neutral,,Other,6,0,Normal
xmas rt shiny new apps new book popup ipad store sxsw christmas nerd,Positive,iPad,Apple,13,1,Normal
yai rt new ubersocial iphone app store includes uberguide sxsw sponsored cont link,Positive,iPhone,Apple,13,1,Normal
yes rt hey ive got another gem yoyou free sxsw link sxsw,Neutral,,Other,12,0,Normal
fast fun future google presenting sxsw search local mobile,Positive,Google,Google,9,1,Normal
gsdm google industry party tonight see link sxsw austin welivehere gsdm,Neutral,Google,Google,11,0,Normal
new buzz google launch major new social network called circle possibly today link rt sxsw,Neutral,Google,Google,15,0,Normal
headline ipad musthave gadget sxsw hmm could seen one coming link gadget,Positive,iPad,Apple,12,1,Normal
know dataviz translates satanic iphone im sayin sxsw,Negative,Apple,Apple,8,1,Medium (Monitor)
google launched checkins month ago check in ok check out future sxsw bizzy,Positive,Google,Google,13,0,Normal
google launched checkins month ago check in ok check out future sxsw bizzy via,Neutral,Google,Google,14,0,Normal
google yoyou tweet new think yoyou speak mark belinsky tweet panel sxsw,Positive,Google,Google,12,0,Normal
attending left brain search google right brain search x bettersearch talking future search engine sxsw,Neutral,Google,Google,15,0,Normal
